Participant_ID,Gender,Row_mean,SampleNumber_mean,Anger_mean,Contempt_mean,Disgust_mean,Fear_mean,Joy_mean,Sadness_mean,Surprise_mean,Engagement_mean,Valence_mean,Sentimentality_mean,Confusion_mean,Neutral_mean,Attention_mean,Brow Furrow_mean,Brow Raise_mean,Cheek Raise_mean,Chin Raise_mean,Dimpler_mean,Eye Closure_mean,Eye Widen_mean,Inner Brow Raise_mean,Jaw Drop_mean,Lip Corner Depressor_mean,Lip Press_mean,Lip Pucker_mean,Lip Stretch_mean,Lip Suck_mean,Lid Tighten_mean,Mouth Open_mean,Nose Wrinkle_mean,Smile_mean,Smirk_mean,Upper Lip Raise_mean,Blink_mean,BlinkRate_mean,Pitch_mean,Yaw_mean,Roll_mean,Interocular Distance_mean
1,Male,4104.4875,4098.4875,0.127903158,0.191972439,0.024102135,0.12971045,0.024053168,0.127466647,0.066522368,0.328932588,0,0.012289041,0.004272207,99.61271754,97.43079628,0.004268164,0.171348922,0.015651042,0.001459318,9.15E-05,6.636036959,0.166027471,0.119053657,3.170375115,0.000226784,0.029850262,2.65E-05,3.81E-05,0.000148602,0.022805717,0.130173744,0.001517784,0.000248827,0.004815346,0.001762276,0.00617952,8.233709789,5.919577643,-3.733026087,2.361373021,164.7458021
2,Female,4787.121212,4782.121212,0.835288433,0.259537961,0.032820794,3.690315424,0.279663509,0.125125827,2.8180294,2.336731078,0.02715652,0.338011739,0.669889561,92.72555462,97.26816712,2.131153482,10.81544963,0.387449165,0.094710817,0.08577651,1.678650557,34.82348996,0.167426298,1.304952266,0.280136386,1.001441065,0.4927207,0.324871068,0.089493595,0.120713634,1.015911819,1.474977572,0.257694563,0.521458022,0.949613199,0.009048836,10.22383763,-3.858026845,-3.911672098,3.529759853,138.1720017
3,Female,9376.285714,9371.285714,0.494569443,0.114081302,0.062420451,11.12265223,0.02406926,0.54175656,8.53069392,30.51252786,-0.095547878,0.123203966,1.591449877,81.38875904,98.24125999,0.078775918,24.28946781,0.027587277,0.010845173,0.00030469,0.809387348,24.40085516,33.99899002,10.72085884,0.122665851,0.006364852,1.580064574,7.00E-05,2.78E-05,0.003535408,37.34684164,0.28735465,0.000176449,0.002927714,0.097798338,0.004904862,5.613881247,7.438386018,1.79155754,2.156700101,143.4630601
4,Female,5607.130952,5601.130952,0.374799953,0.188343379,0.144184532,0.319157927,0.024092505,0.250828443,0.06092266,9.714488844,-0.112147147,0.036515377,0.063507623,99.01485632,97.47920891,0.013823067,1.073003404,0.035201941,0.327266794,4.11E-05,21.2972925,0.037311745,0.084592445,0.446231898,0.274410435,0.193628295,15.47203916,0.000757431,0.000202695,0.000546145,31.93889458,0.030419909,0.001140858,0.015276688,0.052636454,0.022381932,23.30857037,17.6599224,-3.395108932,1.134760916,119.806452
5,Female,8589.284091,8583.284091,0.898504684,0.331987332,0.050604009,12.54282174,0.024728498,0.136681188,11.79004858,15.3887904,-0.523136471,0.627002051,0.195361162,78.98463035,96.25657384,0.123130635,33.89553466,0.382978329,3.825052272,0.13303647,1.457627397,41.09170243,6.61700116,0.557138354,0.048791666,4.128952549,0.328849132,0.575488544,6.978452799,0.229967515,5.640657038,0.488617836,0.04396466,1.344505185,0.083083207,0.019911005,22.78302747,-0.279030636,-5.463291044,1.133436935,148.8813542
6,Male,6651.525,6645.525,0.238044156,0.255985946,0.079571979,0.189262015,0.024148532,0.171102037,1.803089899,5.357290057,-1.728929461,0.106151135,0.073027539,96.19109261,93.211378,0.070869279,0.781891398,0.084492237,6.218979454,0.929078592,15.61551147,0.19125499,0.276782801,71.49579224,0.12137108,6.444353772,0.00685693,0.524942458,3.792087232,0.017603322,8.446082334,0.007131194,0.00050175,0.539376487,0.012046589,0.005842147,5.061984903,20.17653939,-7.115520224,3.843691238,126.9019236
7,Female,6552.7,6546.7,0.078336947,0.126032995,0.013935139,4.05802964,0.024176751,0.857373669,3.807455722,3.406364917,-1.427319984,0.049592093,5.498058448,92.0538198,98.51668923,5.831932117,27.31380051,0.089033503,0.004217082,0.001375357,4.189469571,6.28246978,36.20157806,0.009183707,0.047841926,0.015280359,1.62E-05,0.000237884,0.000331633,0.005960471,0.049892438,0.039364215,0.008858842,0.011308061,0.007447879,0.030442468,34.89506746,11.53898173,-0.657026097,-0.100284207,131.1557341
8,Male,3958.857143,3952.857143,0.158137093,0.188399578,0.025890221,0.170118208,0.024094844,0.238219064,0.075031352,0.4750192,-0.108343512,0.036768453,0.001322414,99.43027415,98.5439742,0.000931315,1.0909219,0.042811584,0.228081607,0.008843151,0.232405485,5.117969971,0.01689879,0.100142174,0.214501081,0.222179167,1.53E-07,0.005464287,0.004127136,1.82E-05,0.605097103,0.001082771,0.001964666,0.044257946,0.000943713,0.002021711,3.005108392,16.43868234,0.595429457,0.588259427,143.0010468
9,Female,6777.368421,6771.368421,0.843106674,0.472618464,0.159663637,55.56942941,0.024288821,0.451559305,60.06671204,65.59217263,-1.516439327,3.839245077,0.288571155,26.1324885,98.037368,0.194511233,86.20085905,0.121283079,0.825491477,3.685971821,1.086422586,67.01736151,26.76798009,11.14601211,7.043094626,3.160970056,0.270442726,0.182671166,0.320559003,0.069624751,15.90142119,0.101807316,0.011227374,1.452814448,0.389025141,0.008494278,10.12028837,0.544200853,1.724663676,-0.596752656,150.650391
10,Male,5961.565789,5954.565789,1.604781384,0.183969139,0.024220203,2.300965555,0.024054251,0.146169133,1.186596716,0.328773526,0,0.03325145,0.079383879,95.39602156,98.34417113,0.000294088,1.930612876,0.016897296,0.094352676,0.000666138,0.016502766,61.67227401,0.032253804,0.009312956,3.026817827,0.017426488,0.037526265,2.74E-05,3.85E-05,3.59E-05,0.016404424,0.080600873,2.01E-05,0.012970166,0.01282411,0.000242354,0.61508525,7.807486543,-0.757500474,2.440806524,148.3107815
11,Male,7685.284091,7678.284091,0.497034834,0.022563945,0.076246827,28.13658157,0.024057611,0.032993036,48.57878792,60.44371422,-0.002069605,0.007375107,0.008797187,36.3313503,96.96601877,0.004062131,88.33960205,0.014540658,0.104254399,0.004602146,0.247832424,47.38587995,2.194071591,39.21840653,0.000154081,0.056040705,0.006304736,0.000116324,0.150241014,0.000295006,17.59187294,0.003094289,0.002461394,0.151402972,0.002654968,0.001337285,3.26690511,0.807280789,-4.565292741,2.707356255,174.4639456
12,Female,6727.5,6721.5,0.339445803,0.337117628,0.26468107,26.10835883,0.024165375,2.302395865,61.25256517,94.61535055,-3.21189883,1.984557505,6.199154909,19.01351607,98.38793505,0.001642894,61.12613229,0.096226484,5.849076583,0.279539161,6.997885718,8.068738391,38.81094408,88.74012465,4.488112152,3.378569812,7.415890564,0.38255994,2.371230049,0.035770904,80.10474508,0.004650182,0.000906153,1.164289164,0.022381966,0.052159551,46.66391495,-0.035512453,0.58673143,2.195132697,136.8740202
13,Male,7717.595238,7711.595238,0.20065934,0.233350481,0.023615362,0.303994576,0.024252699,0.154493794,0.206266885,0.476368583,-0.036361265,0.138448197,0.844799995,99.24678471,95.88493317,0.463206367,1.839500376,0.157260286,0.178985586,0.11602849,1.168385251,9.631967348,4.121776951,6.180918377,0.123229948,0.294253291,0.723840608,0.146907674,0.183068013,0.041920895,0.947444363,0.062433036,0.001629931,0.147834852,0.015774935,0.012669206,12.42452028,3.58165933,-5.995438982,3.292408174,140.984569
14,Male,5548.393939,5542.393939,0.145729819,0.192105018,0.02902922,0.164587296,0.024058394,0.130097221,0.086080397,0.341626632,0,0.014546155,0.39440708,99.58289107,97.56527349,0.102596551,0.265637011,0.01971464,0.002583853,5.90E-06,8.106645783,0.225299511,0.503064193,4.007293426,0.018865152,0.000162941,1.152867255,2.54E-06,2.34E-05,0.050948016,4.982471714,0.067401344,7.82E-05,0.007019312,0.271002646,0.006606446,7.214892208,16.42551937,-3.368091222,0.462756878,131.3140904
15,Female,4239.630952,4233.630952,0.293712433,0.257623323,0.035135532,3.406534734,0.024118482,2.740089583,2.926199488,31.62249051,-4.807622017,1.993546446,0.010154126,89.18085451,97.99905861,0.003168244,27.80422841,0.049836602,2.845273839,1.586759458,1.189008105,19.56705002,2.126412723,0.038017484,37.36373958,2.389801193,0.005708262,0.404400576,1.063548972,7.39E-05,0.716305006,0.008192351,0.001837284,0.418773647,0.001397516,0.008889811,9.462903498,4.668120768,2.029227213,1.092311757,136.1676452
16,Male,5092.088889,5086.088889,0.138834958,0.194526818,0.023443565,0.18234543,0.024055829,0.15580361,0.086949364,0.334024563,-0.000981038,0.696676949,0.821279828,99.53338326,98.13369752,1.051986175,0.944979187,0.017655227,0.028654776,0.003170561,1.028449115,1.173395441,1.799939435,0.013789138,1.43680476,0.0014884,0.002272873,0.001249567,9.47E-06,0.021177394,0.023374763,0.045879721,0.000222156,0.041497214,0.017801024,0.002445343,4.412649809,10.0623186,-1.972071067,1.631305519,133.2779776
17,Male,6110.0875,6105.0875,0.146740056,0.195721519,0.029416472,0.140039677,0.024151,0.145679948,0.283463392,0.650558099,-0.113512607,0.658455049,0.255975987,99.32467122,98.0316215,0.004916228,0.265880769,0.076645423,4.289494439,0.072515049,1.119584011,0.243542106,0.90287827,27.19774533,0.116353924,5.312466354,1.098312907,0.02246196,0.194507103,0.003979303,0.315081984,0.010564543,0.004509328,0.175882614,0.003443246,0.004422825,4.571660717,17.88271582,-2.17473272,9.366171362,132.4135619
18,Female,7474.767442,7469.767442,1.018072704,1.040538704,0.324009932,14.51919315,0.060959272,0.42472811,13.39859427,17.76398722,-2.383316655,0.560775587,1.130366595,72.62922992,95.41897617,2.869381685,44.75419675,0.347663839,2.310595554,9.137071242,1.543487586,55.18330271,1.563413173,0.230397078,0.401621748,5.471882429,9.10643475,0.720434028,1.774479958,0.481853925,1.534986165,3.32083962,0.122404949,3.072242908,1.859328225,0.013319131,14.26285797,-5.173317543,3.081231943,3.948680891,164.798871
19,Male,7005.893939,7000.893939,0.536371456,0.654214113,0.094986544,0.624840078,0.024172424,0.137611666,0.31546853,1.585630917,-0.368477297,0.100444106,0.07057453,98.05804304,96.22230702,0.001163709,0.750687107,0.061259147,1.314066231,0.594208666,0.921620982,19.22280354,0.191570582,1.460241911,0.165208071,2.051013408,0.076402494,0.283189408,1.588769759,0.002737678,0.49979896,0.118305441,0.005640518,0.824961006,0.084608426,0.003998787,5.492427776,3.152025248,-5.561900969,5.02551376,133.0568691
20,Male,3649.174419,3644.174419,0.131014723,0.246794019,0.025496693,0.159542243,0.024214477,0.138794095,0.538806365,0.330753236,0.000849545,0.009626139,0.027220242,98.8437232,98.44694697,0.026673434,1.43739024,0.122538966,0.002307335,0.033897692,5.654009186,0.56414663,2.41978201,41.97511468,0.000736387,0.008657065,0.005859504,0.000274421,0.004449188,0.118825533,2.707208465,0.043903771,0.002141338,0.581472957,0.052114931,0.000668678,1.232064339,21.16867333,1.16705574,-1.859652638,133.3460966
21,Male,8559.733333,8553.733333,0.110910838,0.219231708,0.020233506,0.387392775,0.024287599,0.611372753,0.204148419,1.007669354,-0.705625239,1.848020633,4.383633965,98.69659008,97.70755737,3.996107293,3.406470437,0.18353261,0.422205913,0.006228315,4.472623748,0.714510131,20.59241765,0.211439179,2.463857968,0.670736687,2.421611054,0.027449599,0.065147701,0.733851815,0.006029866,1.157334222,0.001601688,0.063713721,0.772095964,0.004704273,5.805647722,-3.244953615,-2.875833108,0.338550396,157.7302583
22,Female,6433.681818,6428.681818,0.92619193,0.156667693,0.054733113,44.39123629,0.02620394,0.09528246,50.75165904,44.60976983,-0.227413583,0.112007674,0.933780631,32.93222555,97.24644115,1.221368633,75.99454147,0.219016546,0.168353872,0.303250934,2.730188816,75.35690972,2.739158136,13.17746815,0.113827173,0.748768559,1.423192133,0.043364291,0.198855437,0.26553731,6.609600326,0.496049965,0.02318762,0.353687737,0.806038955,0.020235045,20.1293102,3.665636359,3.745360774,1.704301537,140.98902
23,Male,7595.534483,7588.534483,0.634912955,0.100905297,0.024089725,12.98302856,0.024037377,0.081790715,12.25491759,8.407059536,0,0.069010729,0.014959516,78.22583782,97.29195821,0.014427676,35.52117113,0.004541931,0.078794023,0.002381677,1.043877084,45.97072864,0.135412708,0.410620064,0.663919875,0.036342051,0.001521501,0.000170706,0.001195209,0.000573901,0.049707434,0.005248246,3.68E-06,0.003245712,0.001685147,0.005069667,6.398124137,4.314002883,-3.53415392,3.799469707,153.7940148
24,Male,8087.966667,8082.966667,0.115054842,0.166652655,0.024755237,0.187239476,0.024665253,0.117102249,0.098764609,0.663221835,-0.010528644,0.095474266,0.002187659,99.56318614,97.48620532,0.001406115,8.894542697,0.208927121,0.091757973,0.009324763,11.14672587,0.442901279,0.153020527,2.161476838,0.019692125,0.383264004,0.020688478,0.130702144,0.033571224,0.001054799,0.454984528,0.006858768,0.039304215,0.513008485,0.017642658,0.00350142,4.294251042,12.84614567,-3.327327523,2.745839323,125.7352727
25,Female,6079.544118,6074.544118,1.267855341,0.148499479,0.281375763,58.70540832,0.024417986,0.157443969,50.70836437,97.34469305,-0.060172397,0.344646776,0.343785883,23.66253056,98.2994997,0.002228891,85.72682439,0.252256,0.024657605,0.101541834,10.33123239,42.86996691,30.72722669,21.51132377,0.333887944,0.252234027,0.321281341,0.018310616,3.11E-06,0.007739543,81.23862265,0.335088164,0.011741017,0.330919406,1.460544715,0.042813262,43.8099158,2.084917307,1.462303397,3.177973299,134.837336
26,Female,6331.294118,6325.294118,0.129549943,0.52445523,0.029790482,0.245025235,0.02419613,0.118097397,0.131116805,2.029638881,-0.4626544,0.31326203,0.567892443,98.95976898,97.71927942,0.012767368,12.89694757,0.106159507,2.040651269,0.389465446,7.591210522,1.124676209,0.696076478,0.306329757,0.042305136,3.564301511,3.547792569,0.654776723,0.396365607,0.001281461,0.350171926,0.005346297,0.002447237,0.759184336,0.00210759,0.002486553,3.620020115,9.242308139,-2.805883866,2.187055682,152.4229676
27,Male,6960.225,6954.225,0.195921382,0.241588471,0.043115705,0.145261756,0.024242152,0.223919514,0.06438122,2.28066829,-0.800555462,2.594379341,0.242562299,99.41552047,98.13196496,0.239914492,0.278404931,0.150448169,15.84787785,8.729090301,0.717242418,0.562340445,2.636818076,0.031784707,1.105344025,17.18930811,0.019077293,0.250618126,0.016524757,0.008360205,0.005445631,0.042411553,0.001086442,0.821009179,0.005471256,0.000444931,0.495068425,11.8449275,-0.633864985,3.590442168,160.714831
28,Male,8426.05,8419.05,0.129884923,0.195172081,0.024262649,0.131813598,0.024099844,0.130807998,0.073516652,0.416378613,-0.009015637,0.033111535,0.417292231,99.60841531,98.08014553,0.416127711,0.339008517,0.049395975,0.091907647,0.002387971,0.316295583,0.015613398,0.264588072,5.654513169,0.016989094,0.150811031,0.077120086,0.000426323,0.138908274,0.146244473,0.215044655,0.012101904,0.000289877,0.080476417,0.023553223,0.001130825,0.932305449,18.2236936,-0.928189748,6.2846552,140.5527926
29,Male,8088.471429,8083.471429,0.024440711,0.019424878,0.020794987,4.176387179,0.024060688,0.043565223,11.82016179,51.16790543,0,0.121962456,0.014789196,78.10921273,96.87602864,0.000297281,93.03712084,0.021542026,0.009021384,0.002047781,20.45616072,0.885785141,9.90437274,20.35853618,0.120454439,0.02427163,0.014700899,4.58E-05,5.18E-05,0.00011504,0.512265068,0.001589284,5.81E-05,0.081896074,0.004304494,0.034667169,37.39018459,13.94307671,-4.553703755,5.697306826,152.2508795
30,Female,5175.257143,5169.257143,0.815182558,0.129563442,0.033000191,26.08288974,0.024046411,0.604382229,25.50869855,31.78148598,-1.232452369,3.166565316,0.103686984,57.08791476,97.65591064,0.200880628,61.24841904,0.010530689,1.253888516,0.193922666,1.06711879,69.26984096,4.14719083,0.009945491,14.82913558,0.767387881,0.011796198,0.156386223,0.319691403,5.13E-05,0.408824567,0.081578719,0.000132525,0.181167461,0.036399902,0.00920485,10.2146775,7.529309824,-3.07600989,3.310587984,133.5703302
31,Male,7063.161765,7058.161765,0.193390195,0.19071936,0.091042211,0.14955393,0.024115374,2.147311603,0.066536243,4.956198726,-5.013098425,0.204504611,0.15939971,95.77864353,98.26344808,0.007523952,0.701564812,0.054870123,25.77627392,0.008265722,0.843373798,2.50070032,0.192664525,0.174773131,19.36806079,4.048722241,1.556372463,0.052884558,0.038156246,8.89E-05,0.126923984,0.110388789,0.002882857,0.061238349,0.036895721,0.01062911,12.52642148,6.933036646,-0.342420259,1.777200413,142.4440656
32,Male,7492.823529,7486.823529,0.140788034,0.151202204,0.141362004,2.053192939,0.024796125,0.384111122,2.285007296,7.787339153,-0.282942454,3.273124,0.652822885,95.03039384,96.31745851,0.104058533,25.72095214,0.082837129,0.3373383,0.086610352,1.81483729,6.093727547,11.82206387,5.47037804,5.295229702,0.452967852,1.588428898,0.00614955,0.008814645,0.079364414,5.951694634,0.080440589,0.018805185,0.119207419,0.473829577,0.015561587,14.67552488,6.463318181,4.991067318,-1.345532618,148.5683378
33,Female,7044.147059,7038.147059,0.059652195,0.829125657,0.01756973,3.040157964,0.024064677,0.916168779,3.062765541,10.70926052,-1.405412424,2.128796688,0.362612798,92.42772928,96.10703486,0.153107156,33.7139742,0.021965525,2.689345149,0.514821351,4.629546621,4.370034473,41.64433142,0.0164745,0.296109241,3.654093764,0.28902072,0.132217438,1.826967893,1.42E-05,0.619845461,0.006532808,0.000791683,0.975565461,0.07140925,0.030692826,32.51961343,14.57522701,-5.200700076,5.469100755,131.6650526
34,Male,7086.693182,7080.693182,0.122526797,0.175756161,0.027021696,0.154043066,0.024044218,0.199253575,0.070888086,0.577303101,-0.133534279,0.0713701,0.134272954,99.48827313,98.14729542,0.004645494,4.363261144,0.009552855,1.081360405,0.001799931,24.79972878,0.478933602,0.072679529,0.004392241,1.837323546,0.131816092,0.318415064,0.016454583,0.130691834,0.005161926,0.013230193,0.130720856,1.00E-05,0.049290361,0.068413543,0.017902414,17.33659988,4.808752963,-1.83978165,4.260935336,157.2606494
35,Male,6139.817073,6132.817073,0.034855707,0.020660342,0.023927726,3.355434693,0.024188614,0.029447761,3.238945147,44.38453924,-0.000137045,0.01599859,0.003517071,93.25447872,98.39171474,0.00021137,90.02526249,0.08874425,0.001388898,0.002321681,6.332924827,4.72141755,0.674221553,0.346815888,0.011572416,0.028773433,0.000374272,0.000213342,0.000104118,0.000370991,0.199763107,0.005781525,0.013319803,0.027937714,0.0063548,0.012531213,12.08551608,8.302535709,-0.729824574,1.66971854,152.9562955
36,Female,7586.514286,7574.514286,0.088633715,0.064330907,0.040596852,1.85999414,0.024053054,1.552259418,1.68388091,17.12436492,-2.900971846,2.723970039,0.0066888,93.93353459,96.72752289,0.003887645,49.01815645,0.014526449,7.983504011,0.269975959,1.171849817,7.10532035,7.578338855,2.625764601,9.075484471,2.616199994,0.00066177,0.00300232,0.002417499,1.15E-05,2.253546066,0.004583106,0.000761534,0.033178927,0.001352888,0.006064634,7.095080882,19.82095996,4.894937865,0.571915625,138.4764915
37,Male,6941.935897,6935.935897,0.170177727,0.213847539,0.027485314,0.163348729,0.024059203,0.278524207,0.063891244,1.076143486,-0.455940234,0.030557658,0.199530926,99.31404466,97.42855618,1.460672885,0.206694866,0.020358918,0.228969949,0.017888129,3.203007018,0.131168732,0.231787976,0.820565484,0.054289988,0.83958135,0.000787302,0.003511045,0.038412419,0.061464448,1.386889774,0.002167275,7.03E-05,0.106576165,0.001756633,0.013841844,16.15267876,11.21703303,-3.632621629,0.365988657,121.8885165
38,Female,5249.757576,5244.757576,0.145840064,0.242356946,0.031051552,0.146067019,0.354921777,0.133636081,0.067076845,1.239793944,0.393596292,0.101333268,0.605487989,99.14450159,98.33001541,0.981266791,0.477274875,0.191132767,0.1489204,0.000607299,9.969328501,0.207886731,0.37346001,1.529116157,0.002025789,0.155287717,21.44930649,0.216854222,0.165519761,0.027024296,2.780063039,0.113080279,0.472518039,0.125694641,0.451604047,0.008745862,10.67993564,-6.873729236,-1.431156104,0.860816024,131.09052
